"LocalService","AppId","CLSID"
"ALG","{4A0F9AA8-A71E-4CC3-891B-76CAC67E67C0}","{D6015EC3-FA16-4813-9CA1-DA204574F5DA}"
"BITS","{69AD4AEE-51BE-439b-A92C-86AE490E8B30}","{03ca98d6-ff5d-49b8-abc6-03dd84127020}"
"defragsvc","{ab7c873b-eb14-49a6-be60-a602f80e6d22}","{d20a3293-3341-4ae8-9aaf-8e397cb63c34}"
"EapHost","{8C482DCE-2644-4419-AEFF-189219F916B9}","{8C482DCE-2644-4419-AEFF-189219F916B9}"
"EapHost","{0A886F29-465A-4aea-8B8E-BE926BFAE83E}","{0A886F29-465A-4aea-8B8E-BE926BFAE83E}"
"EapHost","{8B4B437E-4CAB-4e83-89F6-7F9F7DF414EA}","{8B4B437E-4CAB-4e83-89F6-7F9F7DF414EA}"
"EventSystem","{1BE1F766-5536-11D1-B726-00C04FB926AF}","{1BE1F766-5536-11D1-B726-00C04FB926AF}"
"fdPHost","{145B4335-FE2A-4927-A040-7C35AD3180EF}","{145B4335-FE2A-4927-A040-7C35AD3180EF}"
"fdPHost","{D3DCB472-7261-43ce-924B-0704BD730D5F}","{D3DCB472-7261-43ce-924B-0704BD730D5F}"
"fdPHost","{35b1d3bb-2d4e-4a7c-9af0-f2f677af7c30}","{35b1d3bb-2d4e-4a7c-9af0-f2f677af7c30}"
"hkmsvc","{46298684-0fd3-47f3-94b3-65650c65b36a}","{ff258fc0-99b1-4297-b857-539ad9bc13ed}"
"IPBusEnum","{344ED43D-D086-4961-86A6-1106F4ACAD9B}","{C97FCC79-E628-407D-AE68-A06AD6D8B4D1}"
"lltdsvc","{19BCA967-D266-436f-B2D4-CBE4D4B42F96}","{5BF9AA75-D7FF-4aee-AA2C-96810586456D}"
"MSIServer","{000C101C-0000-0000-C000-000000000046}","{000C101C-0000-0000-C000-000000000046}"
"napagent","{B292921D-AF50-400c-9B75-0C57A7F29BA1}","{24FF4FDC-1D9F-4195-8C79-0DA39248FF48}"
"netman","{27AF75ED-20D9-11D1-B1CE-00805FC1270E}","{6FE54E0E-009F-4E3D-A830-EDFA71E1F306}"
"netprofm","{C96887DA-A652-4426-905E-4A37546F847C}","{A47979D2-C419-11D9-A5B4-001185AD2B89}"
"profsvc","{72E3272B-4EEA-4104-B358-1A282E4FC1AD}","{BA677074-762C-444b-94C8-8C83F93F6605}"
"RSoPProv","{6EBBFC6C-B721-4D10-9371-5D8E8C76D315}","{F0FF8EBB-F14D-4369-BD2E-D84FBF6122D6}"
"SharedAccess","{ce166e40-1e72-45b9-94c9-3b2050e8f180}","{d851f103-8c90-4321-aff0-58ba5bd421c2}"
"ShellHWDetection","{B1B9CBB2-B198-47E2-8260-9FD629A2B2EC}","{555F3418-D99E-4E51-800A-6E89CFD8B1D7}"
"swprv","{4db9c793-c48d-449c-9754-46027ee45c94}","{65EE1DBA-8FF4-4a58-AC1C-3470EE2F376A}"
"TermService","{C9F65BA8-1F8F-4382-AE27-C91FFB29275F}","{F9A874B6-F8A8-4D73-B5A8-AB610816828B}"
"TrustedInstaller","{752073A2-23F2-4396-85F0-8FDB879ED0ED}","{3c6859ce-230b-48a4-be6c-932c0c202048}"
"upnphost","{E495081B-BBA5-4b89-BA3C-3B86A686B87A}","{0fb40f0d-1021-4022-8da0-aab0588dfc8b}"
"vds","{F290BFB2-1864-45B1-8804-2654194A87E7}","{7D1933CB-86F6-4A98-8628-01BE94C9A575}"
"VSS","{56BE716B-2F76-4dfa-8702-67AE10044F0B}","{0B5A2C52-3EB9-470a-96E2-6C6D4570E40F}"
"was","{119817C9-666D-4053-AEDA-627D0E25CCEF}","{119817C9-666D-4053-AEDA-627D0E25CCEF}"
"WcsPlugInService","{CD11FAB6-1C0E-45e1-BA31-5C6008EF2607}","{69B37063-2BB6-43b5-A109-60E69A77840F}"
"wercplsupport","{136A0DC7-DF5C-4271-A2AC-15DF1A1323F2}","{0E9A7BB5-F699-4D66-8A47-B919F5B6A1DB}"
"winmgmt","{8BC3F05E-D86B-11D0-A075-00C04FB68820}","{8BC3F05E-D86B-11D0-A075-00C04FB68820}"
"wuauserv","{653C5148-4DCE-4905-9CFD-1B23662D3D9E}","{9B1F122C-2982-4e91-AA8B-E071D54F2A4D}"
